Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Eritrea,1.772582792,0.013480241,-3.141985774,8.75543519,3.005429218,-2.655515842,1.451735534,2.57444953,-0.969216929,1.42682206,-9.783030037,3.87650156,2.194190545,8.679799936,,,,
Spain,4.305978447,4.484901183,5.289093179,4.001069225,2.879762121,3.187571476,3.166746501,3.723102943,4.174119116,3.768895263,1.115972755,-3.57381203,0.013786544,-1.000080488,-2.620308512,-1.671971848,1.360673017,3.214286402
Estonia,4.117324056,-0.856495096,10.56808194,6.328672643,6.07641942,7.416210542,6.294727029,9.373736784,10.27186523,7.748203062,-5.419463511,-14.72440239,2.462773326,7.583125148,5.182578141,1.567795821,2.906537167,1.067840531
Ethiopia,-3.458139148,5.162145824,6.073217492,8.301306322,1.514725693,-2.161359721,13.57260315,11.81876594,10.83472707,11.456167,10.78852168,8.802553202,12.55053834,11.17829624,8.647811635,10.58227004,10.27918702,9.607518001
European Union,3.017101793,3.004642978,3.885299682,2.234095182,1.337512481,1.313110194,2.560060465,2.093641407,3.385118671,3.117209445,0.50211812,-4.390684954,2.079835338,1.761168014,-0.47714182,0.186819335,1.357815733,1.948759597
Fragile and conflict affected situations,12.79470528,7.191179425,1.370115876,2.255797833,-1.42712176,-5.819533078,14.17901128,6.038429734,6.14371582,5.003959478,5.112016513,4.107083483,5.44911077,-6.851307402,12.05201323,3.018452695,-0.631427244,1.982695802
Finland,5.428512567,4.444134273,5.634847452,2.580792075,1.680325089,1.993984087,3.926057175,2.779955031,4.055197444,5.184800809,0.720668487,-8.269036558,2.992337502,2.570817745,-1.42618936,-0.758036295,-0.698309888,0.546055314
Fiji,1.300002337,8.799998672,-1.699999246,1.999998847,3.200000591,0.999998968,5.300000995,0.699999968,1.85248247,-0.850653611,1.032794285,-1.386037503,2.954673156,-3.050276112,1.634990386,5.35548347,6.941674542,3.419565179
France,3.556201252,3.407099149,3.875162259,1.954449425,1.118456892,0.81953167,2.786424111,1.607713814,2.3749469,2.361498873,0.195294766,-2.941341055,1.965657375,2.079229175,0.182693034,0.576241547,0.259494108,1.155966989
Faroe Islands,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",2.955722519,1.383750704,4.5632095,1.747193334,0.599899534,1.825861414,-3.231262222,2.160556312,-0.163398426,-2.059676851,-2.559644172,0.961955354,2.530578819,2.050567151,0.564168715,-3.561518835,-3.402898057,
Gabon,3.477833587,-8.932622802,-1.882966398,2.135233422,-0.249033169,2.247330012,0.689543058,3.900705466,-3.634637434,5.658952383,-3.308430649,0.13033112,7.089887315,7.091753343,5.251076918,5.63841405,4.314877125,3.856683734
United Kingdom,3.376468167,3.112744032,3.79884463,2.75803547,2.493914266,3.336664571,2.488458121,2.996358264,2.661822553,2.586036583,-0.466876766,-4.19194486,1.54017665,1.972398563,1.179056123,2.159903871,2.852843317,2.329183321
Georgia,3.104903424,2.869256461,1.838341787,4.805452136,5.473838085,11.05810212,5.857329773,9.599640804,9.383276297,12.34399988,2.314047429,-3.775774557,6.253028626,7.221523093,6.350481944,3.387043726,4.623331907,2.774928095
Ghana,4.700390779,4.39999686,3.700000115,4,4.499999699,5.199999984,5.59999999,5.900003953,6.399912419,4.346819153,9.149799094,4.845756132,7.899740293,14.04600263,9.292511869,7.312525021,3.985865624,3.882704469
Gibraltar,,,,,,,,,,,,,,,,,,
Guinea,3.644121242,3.812004035,2.503060561,3.658346471,5.164609466,1.24860126,2.340117313,2.997272561,2.496728569,1.757682351,4.936932709,-0.280192286,1.936217423,3.90876145,3.944111989,2.299999238,0.399998601,0.099994528
"Gambia, The",3.499998513,6.399999316,5.500000174,5.800000236,-3.250000307,6.869999803,7.049999934,-0.941675912,1.124099702,3.631025533,5.734641946,6.449695858,6.524632607,-4.328668868,5.862230311,4.780907872,0.877460551,
Guinea-Bissau,-28.09997973,1.025537409,5.426987367,2.188906815,-0.985177525,0.568510176,2.76140199,4.265425195,2.309750124,3.204668686,3.204910483,3.314407697,4.432021672,9.334094819,-1.798000803,0.820272416,2.541075102,4.796779831
Equatorial Guinea,23.77448233,25.66401544,18.21377995,63.37987543,19.46283403,13.95525032,37.99872686,16.74870061,7.704917606,12.25217091,9.908375613,-4.534718957,-3.825021882,1.975648557,5.747235995,-6.507499735,-0.284307682,-12.19385266
Greece,3.894904772,3.072596664,3.919770772,4.131612076,3.922871842,5.794531264,5.060992565,0.599142055,5.65243372,3.273746857,-0.335172557,-4.300733667,-5.479037108,-9.132494153,-7.300493935,-3.198239636,0.653982658,-0.231571523
Grenada,6.541905963,10.07249863,1.872901282,-2.023900041,3.43732353,9.463973431,-0.647450316,13.27306387,-4.017708784,6.150583245,0.949050949,-6.613908956,-0.511266454,0.764825341,-1.155295176,2.352300913,5.684820479,3.410985657
Greenland,7.757980698,1.377884947,7.10159701,1.269035533,-0.971177945,-0.3796267,2.667513496,1.979585524,4.468980892,5.513059779,0.345909084,-5.411986294,,,,,,
Guatemala,4.993527823,3.847062161,3.608868745,2.332574183,3.866626505,2.530789948,3.152081872,3.260111011,5.379776764,6.304056538,3.281079816,0.526043018,2.869487737,4.162048946,2.969857427,3.697585578,4.174169137,4.148784475
Guam,,,,,,,,,,,,,,,,,,
Guyana,-1.708567128,2.969880978,-1.376727515,2.249999297,1.051000768,-1.00525525,3.293924791,-1.956911156,5.129609355,7.020313451,1.976647058,3.31862417,4.370869417,5.437126058,4.816458917,5.22162589,3.840915282,3.005814078
High income,2.601395145,3.324500369,3.971868272,1.514587464,1.603986291,2.104582014,3.296662169,2.718066826,3.078603408,2.718130946,0.354268149,-3.382452127,2.957776044,1.817053585,1.284661003,1.182256686,1.799425831,1.913376681
"Hong Kong SAR, China",-5.882643006,2.506671669,7.663485913,0.560802766,1.65665506,3.056328301,8.700095212,7.388143132,7.032583323,6.464748708,2.127864186,-2.45911375,6.767610559,4.814675724,1.700302663,3.072174041,2.61439406,2.360550321
Honduras,2.901585416,-1.889534893,5.748148174,2.723193273,3.754337861,4.547038052,6.232302961,6.050599222,6.567243552,6.188327167,4.23160011,-2.43162788,3.731140344,3.835690662,4.128687749,2.791559757,3.085214961,3.635262488
Heavily indebted poor countries (HIPC),3.600714942,3.032612498,2.860322033,4.22900691,3.613323782,4.5824794,5.241295301,6.226392356,6.268568588,6.654035986,6.104919876,4.487586443,5.797412411,4.863961341,5.663954076,5.689801614,5.578854786,4.817282974
Croatia,1.861880909,-0.935499992,3.767496172,3.434404365,5.246474529,5.557907035,4.082810688,4.163840897,4.785120878,5.15000498,2.0533655,-7.383783,-1.701249763,-0.281262662,-2.187429172,-1.063921096,-0.360434269,1.644613259
Haiti,,2.696522905,0.875239923,-1.042697313,-0.261498231,0.362430598,-3.511333077,1.791686574,2.252992255,3.343279015,0.843944329,3.083247688,-5.497792337,5.523737754,2.885096051,4.247935032,2.79645782,1.651661377
Hungary,4.209822706,3.244162858,4.227410248,3.849141606,4.480838685,3.843903617,4.937714375,4.354623581,3.806359977,0.42581997,0.839345785,-6.55907806,0.743197936,1.757501673,-1.688895103,1.889768022,3.67222002,2.938915791
IBRD only,1.908798744,3.186751937,5.607203767,3.362164739,4.02108396,5.335394956,7.688242423,7.045506711,8.064495171,8.692857619,5.632268258,2.052292021,7.526989504,6.003770856,4.866940495,4.70917009,4.033461634,3.435335719
IDA & IBRD total,2.02238933,3.168319899,5.500469721,3.402978263,3.982340513,5.354448438,7.940753229,6.947908294,7.963830342,8.53319194,5.605041548,2.25057397,7.414329086,5.914871606,4.860599312,4.762597306,4.154317825,3.522497932
IDA total,3.53254547,2.929070749,4.106251437,3.941616107,3.474585995,5.603269928,11.22995466,5.717073384,6.67837173,6.46781862,5.24548698,4.851452485,5.976005642,4.772923804,4.766220834,5.486308608,5.76417479,4.629982389
IDA blend,3.277168339,2.343762725,4.667178428,3.307536557,3.547173689,6.298707602,16.09491924,5.249717589,6.914807403,6.093484819,4.837087508,5.170908833,6.097244142,5.228849516,4.936430805,5.241183975,5.901287392,4.305669752
Indonesia,-13.12672393,0.791129836,4.920064597,3.643466447,4.499475391,4.780369122,5.030873945,5.692571304,5.500951785,6.345022227,6.0137036,4.628871183,6.223854181,6.169784208,6.030050653,5.557263689,5.023889052,4.793921304
IDA only,3.854908226,3.650489598,3.422866793,4.716425001,3.387351498,4.782239178,5.403274208,6.333594935,6.36965222,6.959099922,5.777138841,4.448939053,5.822189823,4.192985371,4.546837401,5.803426813,5.581066372,5.065973844
Isle of Man,13.50925874,13.69321623,5.338364279,5.376166334,5.868974884,6.327778883,5.199996721,5.900003046,7.700001498,7.457065044,9.84866342,2.127151152,9.415889627,4.814762146,6.249540692,4.493510306,,
India,6.184415821,8.845755561,3.840991157,4.823966264,3.803975321,7.860381475,7.922936613,9.284831507,9.263958898,8.608212487,3.890957062,8.479786622,10.25996299,6.63835345,5.618562773,6.638812736,7.243471746,7.570130368
Not classified,,,,,,,,,,,,,,,,,,
Ireland,8.913179803,10.76204293,10.22875255,5.833502806,5.936680162,3.842196192,4.40513207,6.334125561,6.309729023,5.542750825,-2.162410157,-5.63836661,0.398613832,2.588084299,0.151117554,1.434302453,5.199368895,7.811395995
"Iran, Islamic Rep.",2.08001178,2.002696233,5.845527476,2.392172712,8.07882928,8.639298397,4.336665979,4.208690356,5.704251918,9.116167365,0.923695792,2.314710619,6.577374352,3.749690486,-6.608687255,-1.911575057,4.343343402,
Iraq,34.85709513,17.58226601,1.406474812,2.305316984,-6.900180223,-33.10083802,54.15777462,4.400617192,10.15819958,1.377598148,8.228107104,3.379299094,6.402564845,7.5464712,13.93643017,6.572160298,-2.118268061,2.1
Iceland,6.520021855,4.163206319,4.723636719,3.762633493,0.45335828,2.741825062,8.220327655,5.960358031,4.20637027,9.492910314,1.478781618,-4.681171587,-3.588668391,1.98812081,1.182931611,3.895970473,1.826660454,3.957122201
Israel,4.251809192,3.737087569,8.942023062,0.241579639,-0.068274778,1.177134261,5.114051717,4.389914718,5.801808363,6.135078996,3.059407048,1.268661904,5.517022935,5.030189584,2.85774521,3.353203071,2.599679423,2.488076224
Italy,1.616073187,1.559850895,3.710107987,1.77218597,0.248546306,0.151323895,1.581936027,0.949664837,2.00658763,1.473871503,-1.050405284,-5.482053957,1.686523279,0.57662466,-2.819019127,-1.748190439,-0.343160836,0.759532981
Jamaica,-2.334553543,1.047673871,0.878703548,1.344929564,1.997290944,3.666317593,1.3237251,0.893797936,2.89912535,1.431954037,-0.72230904,-4.425210552,-1.488944185,1.723211104,-0.603505605,0.547910509,0.687750718,0.9
Jordan,2.996113628,3.408516773,4.239817478,5.27137064,5.792385509,4.163751728,8.562737394,8.163780219,8.093331161,8.175719022,7.23240848,5.47658105,2.336830301,2.560808799,2.651203349,2.829210769,3.096330275,2.382686629
Japan,-2.003147834,-0.199337319,2.257495302,0.355461715,0.289548451,1.685111722,2.360730113,1.302728144,1.692904245,2.192186233,-1.041636034,-5.526976489,4.711386136,-0.454282297,1.742200425,1.356716501,-0.031429266,0.472784704
Kazakhstan,-1.899999999,2.699999998,9.800000002,13.5,9.800000002,9.3,9.6,9.699999999,10.7,8.9,3.3,1.199999999,7.3,7.2,4.6,5.8,4.1,1.2
Kenya,3.290213723,2.305388596,0.599695392,3.779906496,0.54685953,2.932475546,5.104299776,5.906666082,6.472494299,6.850729771,0.232282746,3.306939815,8.402277064,6.11161346,4.554942796,5.693530352,5.331859404,5.649197078
Kyrgyz Republic,2.121835252,3.655789406,5.426673766,5.321584347,-0.017353042,7.030296039,7.026859686,-0.175548166,3.102898691,8.542874896,8.401615957,2.8862947,-0.471566848,5.956274377,-0.088150193,10.91546938,4.024038761,3.469280798
Cambodia,5.00903275,11.90975793,8.766785439,8.038631629,6.687880848,8.505898789,10.34052873,13.25008556,10.77108716,10.21257181,6.691577475,0.086696959,5.963078575,7.069569946,7.261322743,7.480003653,7.071525352,7.036087179
Kiribati,10.98150547,0.149539683,9.506586095,0.703251456,0.577604814,4.03025063,3.172490639,-0.174077721,-4.507931358,7.51644384,2.754238139,-0.665021325,-0.500317782,2.740007765,2.810013544,2.97279334,3.7,3.144654088
St. Kitts and Nevis,-0.667313658,3.38849989,5.018932867,4.978155937,1.838590198,-2.548816266,4.605144062,9.258699522,5.885215531,2.832379042,4.128683688,-5.598328101,-3.227010925,1.695115944,-1.225697239,5.820111758,6.903070938,4.618097924
"Korea, Rep.",-5.713897734,10.73058969,8.831278205,4.525319497,7.432433614,2.933207053,4.899851507,3.92368744,5.176133982,5.463406088,2.829214457,0.707518483,6.496785169,3.681704667,2.292382426,2.896220054,3.341447519,2.611935409
Kosovo,,,,26.97391784,-0.700948289,5.980145596,2.612126758,6.033229748,4.503031756,7.286082986,2.644818653,3.341665533,3.309574839,4.619578328,2.808457654,3.440464709,1.218533857,3.62444573
Kuwait,3.662055103,-1.789009463,4.694581988,0.729026414,3.000000009,17.32000038,10.7621943,10.07595099,7.52024923,5.991661246,2.479843833,-7.076102616,-2.367061944,9.628436082,6.626388081,1.149038847,-1.622033474,-0.4
